"order_number"	"l1"	"l2"	"l3"	"sku"	"brand"
"669547"	"Power Transmission"	"Bushings"	"Reducing Bushings"	"265905"	"1068"
"871792"	"Safety"	"Workwear"	"Traffic Safety Vests"	"326398"	"4577"
"533824"	"Material Handling"	"Structures and Sheds"	"Modular Pipe and Rail Fittings"	"256366"	"1793"
"374699"	"Machining"	"Precision Measuring Tools"	"Dial Indicators"	"251692"	"4692"
"412109"	"Material Handling"	"Hand Trucks"	"Folding Hand Trucks"	"68111"	"1793"
"692185"	"Lubrication"	"Lubricant Storage and Dispensing"	"Lubrication Container Accessories"	"197915"	"3020"
"216418"	"Pumps"	"Pump Controls"	"Flowmeters"	"22583"	"609"
"863052"	"Cleaning"	"Paper Products and Dispensers"	"Paper Towels, Rolls"	"239434"	"1726"
"482732"	"Safety"	"Gloves and Hand Protection"	"Chemical Resistant Gloves"	"229902"	"2676"
"444777"	"Safety"	"Eye Protection and Accessories"	"Safety Glasses"	"36756"	"934"
"637756"	"Cleaning"	"Trash Bags and Liners"	"Trash Bags"	"15817"	"2773"
"214658"	"Electrical"	"Data and Communication"	"Voice & Data Patch Cords"	"294168"	"1793"
"545097"	"Safety"	"Ergonomics"	"Protective Elbow and Knee Pads"	"192507"	"171"
"765476"	"Lighting"	"Lamps"	"Compact Fluorescent Lamps (CFL)"	"46805"	"1694"
"173984"	"Cleaning"	"Dust Mops, Dusters, and Cleaning Pads"	"Dust Mops"	"51094"	"4355"
"799087"	"Lighting"	"Lamps"	"Halogen Lamps and Bulbs"	"74424"	"1694"
"339808"	"Abrasives"	"Flap Wheels"	"Mounted Flap Wheels"	"183560"	"2713"
"656888"	"Hydraulics"	"Hydraulic Hoses"	"Hydraulic Hose Adapters and Plugs"	"289174"	"1793"
"843516"	"Hand Tools"	"Sockets and Bits"	"Socket Bit Sets"	"27844"	"3356"
"450522"	"Electrical"	"Push Buttons"	"Non-Illuminated Push Buttons with Contact Blocks"	"308969"	"3700"
"697659"	"HVAC and Refrigeration"	"Cooling Fans and Air Circulators"	"Air Circulators"	"114994"	"1068"
"185956"	"Cleaning"	"Paper Products and Dispensers"	"Toilet Paper"	"259957"	"1726"
"480995"	"Lighting"	"Flashlights"	"Handheld Flashlights"	"130984"	"1383"
"258067"	"Cleaning"	"Wet Mops, Squeegees, and Buckets"	"Wet Mops"	"22135"	"4355"
"542071"	"Plumbing"	"Pipe Fittings and Couplings"	"Cam and Groove Fittings"	"274045"	"1156"
"824839"	"HVAC and Refrigeration"	"Air Filters"	"Pleated Air Filters"	"124769"	"123"
"124591"	"Office Supplies"	"Writing and Correction"	"Highlighters"	"114744"	"3789"
"641140"	"Fleet and Vehicle Maintenance"	"Automotive Mechanical"	"Automotive Air Filters"	"210675"	"391"
